Item,Price,Date
,,1995-01-01
"Round steak, 1 kilogram",10.17,1995-01-01
"Sirloin steak, 1 kilogram",11.25,1995-01-01
"Prime rib roast, 1 kilogram",12.08,1995-01-01
"Blade roast, 1 kilogram",7.23,1995-01-01
"Stewing beef, 1 kilogram",7.12,1995-01-01
"Ground beef, 1 kilogram",3.73,1995-01-01
"Pork chops, 1 kilogram",8.36,1995-01-01
"Chicken, 1 kilogram",3.72,1995-01-01
"Bacon, 500 grams",3.0,1995-01-01
"Wieners, 450 grams",2.62,1995-01-01
"Canned salmon, 213 grams",3.64,1995-01-01
"Homogenized milk, 4 litres",,1995-01-01
"Partly skimmed milk, 4 litres",,1995-01-01
"Butter, 454 grams",2.83,1995-01-01
"Processed cheese slices, 250 grams",2.49,1995-01-01
"Evaporated milk, 385 millilitres",0.99,1995-01-01
"Eggs, 1 dozen",1.56,1995-01-01
"Bread, 675 grams",1.27,1995-01-01
"Soda crackers, 450 grams",1.87,1995-01-01
"Macaroni, 500 grams",0.96,1995-01-01
"Flour, 2.5 kilograms",3.27,1995-01-01
"Corn flakes, 675 grams",3.03,1995-01-01
"Apples, 1 kilogram",2.08,1995-01-01
"Bananas, 1 kilogram",1.37,1995-01-01
"Oranges, 1 kilogram",1.55,1995-01-01
"Apple juice, 1.36 litres",1.41,1995-01-01
"Orange juice, 1 litre",1.63,1995-01-01
"Carrots, 1 kilogram",1.18,1995-01-01
"Mushrooms, 1 kilogram",5.62,1995-01-01
"Onions, 1 kilogram",1.04,1995-01-01
"Potatoes, 4.54 kilograms",2.7,1995-01-01
"French fried potatoes, frozen, 1 kilogram",1.71,1995-01-01
"Baked beans, canned, 398 millilitres",0.8,1995-01-01
"Tomatoes, canned, 796 millilitres",1.26,1995-01-01
"Tomato juice, 1.36 litres",1.45,1995-01-01
"Ketchup, 1 litre",2.41,1995-01-01
"Sugar, white, 2 kilograms",1.95,1995-01-01
"Coffee, roasted, 300 grams",4.22,1995-01-01
"Coffee, instant, 200 grams",7.02,1995-01-01
Tea (72 bags),2.64,1995-01-01
"Cooking or salad oil, 1 litre",2.97,1995-01-01
"Soup, canned, 284 millilitres",0.72,1995-01-01
"Baby food, 128 millilitres",0.53,1995-01-01
"Peanut butter, 500 grams",2.65,1995-01-01
Paper towels (2 rolls),1.23,1995-01-01
Facial tissue (200 tissues),1.21,1995-01-01
Bathroom tissue (4 rolls),1.77,1995-01-01
"Shampoo, 300 millilitres",3.05,1995-01-01
"Deodorant, 60 grams",2.93,1995-01-01
"Toothpaste, 100 millilitres",1.34,1995-01-01
